City ID,City Name,Country,City Latitude,City Longitude,City Temperature,City Max Temperature,City Humidity,City Cloudiness,City Wind Speed
3450909,Rondonópolis,BR,-16.4708,-54.6356,92.28,92.28,23,100,5.17
1650232,Banjar,ID,-8.19,114.9675,80.6,80.6,94,20,6.91
4020109,Atuona,PF,-9.8,-139.0333,78.64,78.64,75,27,7.23
1154689,Ko Samui,TH,9.5357,99.9357,83.46,83.46,71,100,3.89
770425,Janów Lubelski,PL,50.707,22.4104,60.98,63.0,64,100,5.99
4030556,Rikitea,PF,-23.1203,-134.9692,75.61,75.61,68,93,11.16
4032243,Vaini,TO,-21.2,-175.2,77.0,77.0,94,75,5.75
3366880,Hermanus,ZA,-34.4187,19.2345,64.0,64.0,62,83,1.99
1162634,Wana,PK,32.2989,69.5725,65.52,65.52,57,99,13.78
3204121,Biograd na Moru,HR,43.9433,15.4519,65.7,66.99,68,40,13.8
1018725,Bloemfontein,ZA,-29.1211,26.214,62.6,62.6,67,90,4.61
1006984,East London,ZA,-33.0153,27.9116,60.8,60.8,94,20,10.36
4031574,Provideniya,RU,64.3833,-173.3,29.46,29.46,70,100,3.38
3833367,Ushuaia,AR,-54.8,-68.3,41.0,41.0,65,40,9.22
556268,Ostrovnoy,RU,68.0531,39.5131,25.27,25.27,80,33,9.91
2171099,Codrington,AU,-38.2667,141.9667,53.82,53.82,92,26,5.19
2074865,Carnarvon,AU,-24.8667,113.6333,71.6,71.6,88,20,10.36
5563839,Fortuna,US,40.5982,-124.1573,44.6,44.6,100,90,3.8
6074882,Minnedosa,CA,50.2453,-99.8436,46.4,46.4,61,20,14.97
3899695,Ancud,CL,-41.8697,-73.8203,59.5,62.01,94,75,14.97
5546220,Saint George,US,37.1041,-113.5841,66.24,68.0,27,1,3.44
336454,Ginir,ET,7.1333,40.7,60.6,60.6,85,89,3.87
4817641,Parkersburg,US,39.2667,-81.5615,67.41,68.0,88,90,9.22
2112309,Katsuura,JP,35.1333,140.3,64.51,64.99,88,75,17.27
6620339,Karratha,AU,-20.7377,116.8463,80.65,80.65,49,0,6.22
1519422,Semey,KZ,50.4111,80.2275,66.02,66.02,62,100,13.38
6165406,Thompson,CA,55.7435,-97.8558,28.4,28.4,50,20,13.8
2738381,Lata,PT,40.1629,-8.3327,60.78,62.01,55,20,12.66
6201424,Mataura,NZ,-46.1927,168.8643,51.01,51.01,96,100,3.0
2139521,Noumea,NC,-22.2763,166.4572,71.08,73.99,82,90,1.14
5122534,Jamestown,US,42.097,-79.2353,58.75,60.01,100,90,14.97
1499428,Mamontovo,RU,52.7055,81.6244,55.22,55.22,91,100,3.83
1507390,Dikson,RU,73.5069,80.5464,2.75,2.75,99,32,6.08
2110227,Butaritari,KI,3.0707,172.7902,82.83,82.83,77,100,16.11
3386213,Touros,BR,-5.1989,-35.4608,86.0,86.0,66,40,10.36
5848280,Kapaa,US,22.0752,-159.319,66.45,69.8,83,90,5.75
2170581,Coolum Beach,AU,-26.5333,153.1,62.78,64.99,98,60,1.01
3430863,Mar del Plata,AR,-38.0023,-57.5575,73.4,73.4,60,0,6.91
2240449,Luanda,AO,-8.8368,13.2343,86.0,86.0,70,20,12.66
1992517,Baoning,CN,25.3378,110.026,64.4,64.4,88,0,2.24
3874787,Punta Arenas,CL,-53.15,-70.9167,39.09,39.2,81,0,8.05
3421982,Maniitsoq,GL,65.4167,-52.9,36.46,36.46,79,100,6.64
3361934,Saldanha,ZA,-33.0117,17.9442,66.2,66.2,52,0,19.57
5563397,Eureka,US,40.8021,-124.1637,45.52,46.4,100,90,3.44
1651810,Airai,TL,-8.9266,125.4092,59.61,59.61,91,91,1.88
3831208,Qaanaaq,GL,77.484,-69.3632,24.4,24.4,71,22,8.72
3372964,Lagoa,PT,39.05,-27.9833,58.15,58.15,65,79,13.56
2013921,Ust-Kuyga,RU,70.0167,135.6,9.18,9.18,99,38,1.57
2156643,Mount Gambier,AU,-37.8333,140.7667,48.2,48.2,100,90,3.8
468983,Yarensk,RU,62.1675,49.0916,35.64,35.64,49,99,4.07
964432,Port Alfred,ZA,-33.5906,26.891,65.35,65.35,76,99,16.87
1217662,Romitan,UZ,39.9343,64.3814,87.8,87.8,19,0,18.41
3696183,Iquitos,PE,-3.7481,-73.2472,75.2,75.2,94,75,11.5
1015776,Bredasdorp,ZA,-34.5322,20.0403,62.6,62.6,59,100,6.91
3421765,Nanortalik,GL,60.1432,-45.2371,38.79,38.79,78,14,5.5
5880054,Barrow,US,71.2906,-156.7887,19.4,19.4,86,90,10.36
2159220,Mackay,AU,-21.15,149.2,68.29,69.8,83,90,10.36
3929493,San Juan Bautista,PE,-14.0108,-75.7358,66.88,69.01,94,75,9.22
3943626,Chivay,PE,-15.6383,-71.6011,56.32,56.32,33,4,2.1
2180815,Tuatapere,NZ,-46.1333,167.6833,51.01,51.01,96,98,4.0
2071860,Esperance,AU,-33.8667,121.9,66.2,66.2,82,100,5.75
3115824,Muros,ES,42.7762,-9.0603,59.79,61.0,50,53,12.84
736987,Afytos,GR,40.1,23.4333,68.38,70.0,85,57,1.01
2274275,Robertsport,LR,6.7533,-11.3686,83.64,83.64,68,100,8.12
3421319,Nuuk,GL,64.1835,-51.7216,30.2,30.2,100,90,4.61
2108502,Honiara,SB,-9.4333,159.95,75.72,75.72,84,86,3.2
3883457,Lebu,CL,-37.6167,-73.65,60.94,60.94,72,100,2.77
3981391,Tomatlán,MX,19.9333,-105.25,86.07,86.07,50,4,4.12
1792916,Tianpeng,CN,30.9866,103.9393,70.0,70.0,1,33,3.89
3461888,Guarapari,BR,-20.6667,-40.4975,80.28,80.6,65,40,9.22
239899,Bria,CF,6.5423,21.9863,77.04,77.04,74,99,3.6
4499379,Wilmington,US,34.2257,-77.9447,80.13,81.0,57,20,14.97
3393536,Olinda,BR,-8.0089,-34.8553,82.4,82.4,69,40,14.97
3381428,Iracoubo,GF,5.4802,-53.2011,78.22,78.22,81,98,4.72
1636308,Manokwari,ID,-0.8667,134.0833,78.28,78.28,79,100,4.99
87205,Darnah,LY,32.767,22.6367,74.39,74.39,46,66,15.99
5983720,Iqaluit,CA,63.7506,-68.5145,32.0,32.0,93,90,13.8
3665380,Alvarães,BR,-3.2208,-64.8042,82.4,82.4,89,75,5.75
6255012,Flinders,AU,-34.5833,150.8552,55.56,55.99,86,1,1.01
5847411,Kahului,US,20.8947,-156.47,67.93,71.6,100,75,6.91
2142316,Yeppoon,AU,-23.1333,150.7333,68.0,68.0,77,90,8.05
3945985,Camaná,PE,-16.6228,-72.7111,70.95,70.95,73,44,10.49
1726449,Basco,PH,20.4487,121.9702,77.47,77.47,80,19,9.17
5924351,Clyde River,CA,70.4692,-68.5914,24.8,24.8,93,90,4.61
2136825,Isangel,VU,-19.55,169.2667,68.0,68.0,94,40,13.09
3402648,Carutapera,BR,-1.195,-46.02,84.92,84.92,68,57,4.72
3372472,Vila Franca do Campo,PT,37.7167,-25.4333,62.6,62.6,63,40,14.97
2155562,Nelson Bay,AU,-32.7167,152.15,53.02,54.0,93,8,2.3
2630299,Hofn,IS,64.2539,-15.2082,41.0,41.0,60,40,9.22
2022572,Khatanga,RU,71.9667,102.5,30.76,30.76,92,100,11.86
2126199,Cherskiy,RU,68.75,161.3,5.47,5.47,97,94,3.13
964420,Port Elizabeth,ZA,-33.918,25.5701,60.8,60.8,94,90,11.5
2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,63.75,68.0,83,75,4.61
3466704,Castro,BR,-24.7911,-50.0119,67.73,67.73,48,2,7.47
293842,Kiryat Gat,IL,31.61,34.7642,77.63,81.0,52,4,1.01
3893629,Coquimbo,CL,-29.9533,-71.3436,57.2,57.2,88,90,2.3
5793822,Enumclaw,US,47.2043,-121.9915,54.27,57.0,88,100,2.26
778707,Mehamn,NO,71.0357,27.8492,32.0,32.0,86,75,6.91
3470324,Batatais,BR,-20.8911,-47.585,77.0,77.0,50,20,9.22
151711,Ngara,TZ,-2.5122,30.6558,59.99,59.99,92,100,1.39
2014927,Tulun,RU,54.5611,100.5792,33.39,33.39,92,100,5.35
3652764,Puerto Ayora,EC,-0.7393,-90.3518,80.6,80.6,74,40,12.66
5855927,Hilo,US,19.7297,-155.09,66.15,71.6,78,90,3.44
1927639,Yueyang,CN,29.3333,113.0919,66.24,66.24,80,0,9.89
5106841,Albany,US,42.6001,-73.9662,56.48,57.99,89,100,1.05
3464008,Esmeraldas,BR,-19.7625,-44.3139,78.21,80.6,47,40,6.91
1501000,Kyshtovka,RU,56.555,76.6271,42.73,42.73,81,79,5.88
889191,Karoi,ZW,-16.8099,29.6925,69.24,69.24,58,12,5.28
2075265,Busselton,AU,-33.65,115.3333,51.76,53.01,97,90,14.38
546105,Nikolskoye,RU,59.7035,30.7861,44.51,46.0,33,20,6.71
780687,Berlevåg,NO,70.8578,29.0864,28.87,30.2,93,90,16.11
2156927,Moree,AU,-29.4667,149.85,55.4,55.4,82,87,10.36
3665199,Ariquemes,BR,-9.9133,-63.0408,83.52,83.52,60,95,5.95
3416888,Grindavik,IS,63.8424,-22.4338,42.8,42.8,61,75,11.5
2440371,Ouallam,NE,14.3188,2.0866,108.05,108.05,9,1,8.41
3374083,Bathsheba,BB,13.2167,-59.5167,80.6,80.6,61,20,13.8
359783,Assiut,EG,27.181,31.1837,98.6,98.6,12,0,11.5
3369157,Cape Town,ZA,-33.9258,18.4232,62.83,64.99,52,20,18.41
2122090,Pevek,RU,69.7008,170.3133,19.51,19.51,95,100,9.08
686090,Asău,RO,46.4333,26.4,59.0,59.0,49,76,2.53
3456137,Nova Olímpia,BR,-14.7972,-57.2881,80.1,80.1,51,100,6.13
72181,Marzuq,YE,14.4,46.4667,73.87,73.87,68,96,7.05
2650752,Dundee,GB,56.5,-2.9667,47.89,51.01,61,40,2.3
2126123,Chokurdakh,RU,70.6333,147.9167,0.93,0.93,100,91,4.0
2127060,Arman',RU,59.7,150.1667,27.48,27.48,89,9,5.32
2194098,Ahipara,NZ,-35.1667,173.1667,53.22,53.22,85,0,5.23
1106677,Bambous Virieux,MU,-20.3428,57.7575,76.06,77.0,94,75,11.5
1244926,Hambantota,LK,6.1241,81.1185,81.21,81.21,80,100,9.69
